sourcePath	targetPath	beforeHash	afterHash	bytes
C:\Users\18395\.codex\worktrees\d721\外贸自动化拓客系统\app\observability.mjs	D:\zcy\外贸自动化拓客系统\app\observability.mjs	ABSENT	0C5B7939A46FF73C5E502CC5FFE2D86E0E80AC05163D19E5F9B1DAF42EEDA4B6	8783
C:\Users\18395\.codex\worktrees\d721\外贸自动化拓客系统\app\tests\observability-contract-unit.mjs	D:\zcy\外贸自动化拓客系统\app\tests\observability-contract-unit.mjs	ABSENT	5B0FE411E562908802C05BB20969CC1127F0EAB860FAE7C904DCF9EF7A5206A4	2584
C:\Users\18395\.codex\worktrees\d721\外贸自动化拓客系统\tools\browser-health-check.mjs	D:\zcy\外贸自动化拓客系统\tools\browser-health-check.mjs	ABSENT	FB37C6BD27AC018514A6E63DBD6FD7F7BC3EC238418C9B39E315B57849460155	4889
C:\Users\18395\.codex\worktrees\d721\外贸自动化拓客系统\tools\browser-control-foundation.mjs	D:\zcy\外贸自动化拓客系统\tools\browser-control-foundation.mjs	ABSENT	A9D686F17C9792682EAE451F04E721E7A4B2F88699125FF047EB21F9BE913D52	3658
C:\Users\18395\.codex\worktrees\d721\外贸自动化拓客系统\tools\run-auto-delivery-consumer.mjs	D:\zcy\外贸自动化拓客系统\tools\run-auto-delivery-consumer.mjs	ABSENT	B1C77406440D112BF52FF03112C0FB0B5712D39585105C5B0E578C3F666F2BF3	454
C:\Users\18395\.codex\worktrees\d721\外贸自动化拓客系统\tools\send-gate-migration-canary.mjs	D:\zcy\外贸自动化拓客系统\tools\send-gate-migration-canary.mjs	ABSENT	9D84E9BC160FBD953F40916EFD8C62D774CBFBA912EA2E92C76597EBCE5FB0E4	4483
C:\Users\18395\.codex\worktrees\d721\外贸自动化拓客系统\BROWSER_RECOVERY_RUNBOOK.md	D:\zcy\外贸自动化拓客系统\BROWSER_RECOVERY_RUNBOOK.md	ABSENT	806561DDD8F60C73B45A06EC4D12EF2FBF3D5FEEA8B08BB01E5B6310612C2025	1413
C:\Users\18395\.codex\worktrees\d721\外贸自动化拓客系统\PHASE12_3_B_PRODUCTION_EVENT_INTEGRATION.md	D:\zcy\外贸自动化拓客系统\PHASE12_3_B_PRODUCTION_EVENT_INTEGRATION.md	ABSENT	43BD62A729201B91E4763A652451A8D3C00A0EADA2D78910E09C48963A77B9AE	8836
C:\Users\18395\.codex\worktrees\d721\外贸自动化拓客系统\PHASE12_3_C_PRODUCTION_RELEASE_VERIFICATION.md	D:\zcy\外贸自动化拓客系统\PHASE12_3_C_PRODUCTION_RELEASE_VERIFICATION.md	ABSENT	BCF06D41DC1837FF7A016D748A9B77E1475643945EBF62D2ACC17511C951A966	4786
C:\Users\18395\.codex\worktrees\d721\外贸自动化拓客系统\PHASE12_3_D_PRODUCTION_RELEASE_ENABLEMENT.md	D:\zcy\外贸自动化拓客系统\PHASE12_3_D_PRODUCTION_RELEASE_ENABLEMENT.md	ABSENT	B8F8568828ABF336754B87AE938939F8B0150CAAA0D9CE8B9E1963D9C612E750	3990
C:\Users\18395\.codex\worktrees\d721\外贸自动化拓客系统\PHASE12_3_E_RELEASE_ARTIFACT_ALIGNMENT.md	D:\zcy\外贸自动化拓客系统\PHASE12_3_E_RELEASE_ARTIFACT_ALIGNMENT.md	ABSENT	8177608ED0B73E7FF1B112BFA8D314C73141002ED8D92E2F355D22FAEABFEA53	4902
